Food_items,Breakfast,Lunch,Dinner,Veg/NonVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,BMI_Range
Baked Paneer Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Sandwiches,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Tikka,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pani Puri,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Papdi,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Pattice,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Patra,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pav Bhaji,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Peas Pakora,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Peas Samosa,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pizza Sandwich,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potato Tikki,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes and Green Peas,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes and Mushrooms,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes and Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes with Cottage Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes with Cream,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes with Mushrooms,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes with Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pumpkin,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pyaz Ki Kachori,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pyaz ki Kachori,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Ragda Pattice,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Rasgulla,0,0,1,1,200,3.5,2.0,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Baked Rice,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Samosa,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Samosa,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Sev,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Sevaiyan,0,0,1,1,150,3.0,3.5,0.5,25,15,28,20.0,0.0,0.0,15.0,Healthy
Baked Shakkarpare,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Spinach and Paneer,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach and Potato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach and Tomato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach Dish,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach in White Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Stuffed Capsicum,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Stuffed Tomatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Sweet Potato Chips,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Sweet Potato Fries,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Sweet Potatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tandoori Paneer Tikka,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tandoori Potatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Thalipeeth,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Thepla,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tomato and Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tomato Cheese Corn,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tomato Soup,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tomato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tortilla Chips,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Au Gratin,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Cutlets,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Pie,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Samosa,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Soup,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Spring Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables in Spinach Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables in Tomato Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables with Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables with Pasta,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables with Spaghetti,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables with Tomato Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Veggie,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vermicelli,0,0,1,1,150,3.0,3.5,0.5,25,15,28,20.0,0.0,0.0,15.0,Healthy
Baked Vrat Wale Aloo,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Zucchini Chips,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Zucchini Fries,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Zucchini,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Bakewell Tart,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bakwan Jagung,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Bakwan Tahu,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Balushahi,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Chocolate Cake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Dates Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Date Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Mango Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Papaya Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Peanut Butter Smoothie,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Walnut Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Apple Smoothie,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Apple Walnut Bread,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Bread French Toast,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Bread Pudding,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Cake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Chocolate Chip Pancake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Chocolate Chip Pancakes,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Chocolate Muffins,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Chocolate Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Cupcakes,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Halwa,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Muffins,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Nut Bread,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Nut Muffins,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Oatmeal Pancakes,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Pancakes,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Pudding,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Smoothie,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Split Cake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Split,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Walnut Cake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Walnut Muffins,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banh Mi,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barbeque Chicken,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barbeque Chicken Wings,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barbeque Chicken Wings,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barbeque Chicken,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barbeque Paneer Tikka,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barbeque Sauce,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barbeque Vegetable,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barfi,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barley Idli,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barley Soup,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barnyard Millet Dosa,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Barooda,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bars,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Basic Cheesecake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Basic Chicken Curry,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Basic Egg Curry,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Basic Pizza Base,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Basic Pizza Sauce,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Basic Sponge Cake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Basmati Pulav,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Basundi,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Batata Poha,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Batata Vada,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bathua Paratha,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bathua Raita,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Battura,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Batti Chokha,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bauli Croissant,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bauli Croissants,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bay Leaf,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bay Leaf,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bay Leaves,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bean Burger,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bean Salad,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bean Soup,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bean Sprouts Salad,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bean Tacos,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beans Curry,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beans Paruppu Usili,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beans Poricha Kootu,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beans Thoran,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bean Salad,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beaten Coffee,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beaten Rice,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bechamel Sauce,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bedmi Puri,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Biryani,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Burger,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Curry,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Fry,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Gravy,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Kofta,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Roast,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Stew,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Sukka,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Tacos,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beef Vindaloo,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beer Batter,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beer Batter,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beer Battered Fish,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beer Battered Onion Rings,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beer Battered Shrimp,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beer Bread,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beer Cheese Soup,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beer Dip,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beer Soup,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beetroot Paratha,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beetroot Poricha Kootu,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beetroot Raita,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beetroot Salad,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beetroot Soup,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beetroot Thoran,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beetroot Tikki,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beetroot Uttapam,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beetroot,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beguni,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Begun Pora,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Beiju,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bekti Fish Curry,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bell Pepper Fry,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bell Pepper Masala,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bell Pepper Salad,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bell Pepper Soup,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bell Pepper,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Dimer Dalna,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Mishti Pulao,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Style Chana Dal,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Style Lauki Chana Dal,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Style Masoor Dal,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Style Mixed Vegetable Curry,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Style Moong Dal,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Style Paneer Ghugni,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Style Potato Curry,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Style Prawn Curry,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Style Vegetable Pulao,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bengali Style Yellow Moong Dal,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Besan Aur Pyaz Ka Pakoda,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Besan Chila,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Besan Kadhi,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Besan Ki Barfi,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Besan Ki Kadhi,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Besan Ki Roti,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Besan Ladoo,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Besan Laddu,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Besan Peda,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Besan Toast,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bessie's Ultimate Tuna Sandwich,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bete Ka Halwa,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhakarwadi,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhakri,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhakri,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhalla,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhalla Papdi Chaat,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhapa Doi,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhapa Ilish,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhapa Sandesh,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhein,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhelpuri,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhendi Masala,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhindi Bhaji,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhindi Fry,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhindi Masala,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhindi Pakoda,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhindi Sabji,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhindi,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bhogichi Bhaji,0,1,0,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Cashews,0,0,0,1,553,44.6,18.2,6.7,37,12,660,30.2,3.3,0.0,6.0,Overweight
Cauliflower,0,0,1,1,25,0.3,1.9,0.4,15,30,299,5.0,3.1,0.0,0.0,Underweight
